Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
GCA_049744415.1_ASM4974441v1	NA	JBLZTQ010000004.1	225121	228285	+	mdsB	multidrug efflux RND transporter permease subunit MdsB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1055	1055	100.00	99.81	1055	AAL19305.1	multidrug efflux RND transporter permease subunit MdsB	NA	NA
GCA_049744415.1_ASM4974441v1	NA	JBLZTQ010000005.1	96321	98510	+	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	730	730	100.00	96.85	730	AAL21411.1	intimin-like inverse autotransporter SinH	NA	NA
GCA_049744415.1_ASM4974441v1	NA	JBLZTQ010000016.1	276	1319	+	sseK2	type III secretion system effector arginine glycosyltransferase SseK2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	348	348	100.00	98.85	348	AAL21040.1	type III secretion system effector arginine glycosyltransferase SseK2	NA	NA
GCA_049744415.1_ASM4974441v1	NA	JBLZTQ010000021.1	43093	44892	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	98.17	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
GCA_049744415.1_ASM4974441v1	NA	JBLZTQ010000021.1	44882	46681	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	97.17	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
GCA_049744415.1_ASM4974441v1	NA	JBLZTQ010000022.1	7152	7577	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	142	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
GCA_049744415.1_ASM4974441v1	NA	JBLZTQ010000028.1	14457	15599	-	blaCMY-2	extended-spectrum class C beta-lactamase CMY-2	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100.00	100.00	381	WP_000976514.1	extended-spectrum class C beta-lactamase CMY-2	NA	NA
GCA_049744415.1_ASM4974441v1	NA	JBLZTQ010000030.1	7574	8386	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
GCA_049744415.1_ASM4974441v1	NA	JBLZTQ010000030.1	10566	11762	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
GCA_049744415.1_ASM4974441v1	NA	JBLZTQ010000036.1	2178	2819	+	qnrB19	quinolone resistance pentapeptide repeat protein QnrB19	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	214	214	100.00	100.00	214	WP_012954666.1	quinolone resistance pentapeptide repeat protein QnrB19	NA	NA
GCA_049744415.1_ASM4974441v1	NA	JBLZTQ010000037.1	105	977	-	blaCTX-M-8	extended-spectrum class A beta-lactamase CTX-M-8	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.00	100.00	291	WP_032489598.1	extended-spectrum class A beta-lactamase CTX-M-8	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000001.1	522463	524517	+	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000001.1	552115	553020	+	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	302	302	100.00	98.01	302	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000001.1	641729	645355	-	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1209	1219	98.85	80.10	1211	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000001.1	645439	646551	-	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	86.52	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000003.1	421347	422153	+	cdtB	cytolethal distending toxin S-CDT	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	269	269	100.00	100.00	269	CAD02120.1	cytolethal distending toxin S-CDT	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000004.1	220859	221320	-	golS	Au(I) sensor transcriptional regulator GolS	plus	STRESS	METAL	GOLD	GOLD	BLASTX	154	154	100.00	99.35	154	AAL19308.1	Au(I) sensor transcriptional regulator GolS	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000004.1	221335	223620	-	golT	gold/copper-translocating P-type ATPase GolT	plus	STRESS	METAL	COPPER/GOLD	COPPER/GOLD	BLASTX	762	762	100.00	99.08	762	AAL19307.1	gold/copper-translocating P-type ATPase GolT	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000004.1	223897	225120	+	mdsA	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	408	408	100.00	98.28	408	AAL19306.1	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000004.1	225120	228284	+	mdsB	multidrug efflux RND transporter permease subunit MdsB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1055	1055	100.00	99.81	1055	AAL19305.1	multidrug efflux RND transporter permease subunit MdsB	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000005.1	96120	98309	+	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	730	730	100.00	96.85	730	AAL21411.1	intimin-like inverse autotransporter SinH	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000016.1	276	1319	+	sseK2	type III secretion system effector arginine glycosyltransferase SseK2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	348	348	100.00	98.85	348	AAL21040.1	type III secretion system effector arginine glycosyltransferase SseK2	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000021.1	42790	44589	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	98.17	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000021.1	44579	46378	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	97.17	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000023.1	7152	7577	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	142	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000028.1	14457	15599	-	blaCMY-2	extended-spectrum class C beta-lactamase CMY-2	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100.00	100.00	381	WP_000976514.1	extended-spectrum class C beta-lactamase CMY-2	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000030.1	7574	8386	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000030.1	10566	11762	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000035.1	2178	2819	+	qnrB19	quinolone resistance pentapeptide repeat protein QnrB19	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	214	214	100.00	100.00	214	WP_012954666.1	quinolone resistance pentapeptide repeat protein QnrB19	NA	NA
GCA_049744425.1_ASM4974442v1	NA	JBLZTP010000036.1	105	977	-	blaCTX-M-8	extended-spectrum class A beta-lactamase CTX-M-8	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.00	100.00	291	WP_032489598.1	extended-spectrum class A beta-lactamase CTX-M-8	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000001.1	522463	524517	+	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000001.1	552115	553020	+	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	302	302	100.00	98.01	302	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000001.1	641729	645355	-	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1209	1219	98.85	80.10	1211	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000001.1	645439	646551	-	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	86.52	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000003.1	421347	422153	+	cdtB	cytolethal distending toxin S-CDT	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	269	269	100.00	100.00	269	CAD02120.1	cytolethal distending toxin S-CDT	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000004.1	220878	221339	-	golS	Au(I) sensor transcriptional regulator GolS	plus	STRESS	METAL	GOLD	GOLD	BLASTX	154	154	100.00	99.35	154	AAL19308.1	Au(I) sensor transcriptional regulator GolS	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000004.1	221354	223639	-	golT	gold/copper-translocating P-type ATPase GolT	plus	STRESS	METAL	COPPER/GOLD	COPPER/GOLD	BLASTX	762	762	100.00	99.08	762	AAL19307.1	gold/copper-translocating P-type ATPase GolT	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000004.1	223916	225139	+	mdsA	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	408	408	100.00	98.28	408	AAL19306.1	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000004.1	225139	228303	+	mdsB	multidrug efflux RND transporter permease subunit MdsB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1055	1055	100.00	99.81	1055	AAL19305.1	multidrug efflux RND transporter permease subunit MdsB	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000005.1	96246	98435	+	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	730	730	100.00	96.85	730	AAL21411.1	intimin-like inverse autotransporter SinH	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000016.1	686	1729	+	sseK2	type III secretion system effector arginine glycosyltransferase SseK2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	348	348	100.00	98.85	348	AAL21040.1	type III secretion system effector arginine glycosyltransferase SseK2	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000021.1	42790	44589	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	98.17	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000021.1	44579	46378	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	97.17	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000022.1	5606	6031	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	142	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000027.1	14457	15599	-	blaCMY-2	extended-spectrum class C beta-lactamase CMY-2	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100.00	100.00	381	WP_000976514.1	extended-spectrum class C beta-lactamase CMY-2	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000029.1	7574	8386	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000029.1	10566	11762	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000035.1	2178	2819	+	qnrB19	quinolone resistance pentapeptide repeat protein QnrB19	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	214	214	100.00	100.00	214	WP_012954666.1	quinolone resistance pentapeptide repeat protein QnrB19	NA	NA
GCA_049744475.1_ASM4974447v1	NA	JBLZTR010000036.1	104	976	-	blaCTX-M-8	extended-spectrum class A beta-lactamase CTX-M-8	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.00	100.00	291	WP_032489598.1	extended-spectrum class A beta-lactamase CTX-M-8	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000001.1	522538	524592	+	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000001.1	552190	553095	+	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	302	302	100.00	98.01	302	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000001.1	641804	645430	-	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1209	1219	98.85	80.10	1211	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000001.1	645514	646626	-	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	86.52	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000003.1	421346	422152	+	cdtB	cytolethal distending toxin S-CDT	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	269	269	100.00	100.00	269	CAD02120.1	cytolethal distending toxin S-CDT	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000005.1	196030	196491	-	golS	Au(I) sensor transcriptional regulator GolS	plus	STRESS	METAL	GOLD	GOLD	BLASTX	154	154	100.00	99.35	154	AAL19308.1	Au(I) sensor transcriptional regulator GolS	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000005.1	196506	198791	-	golT	gold/copper-translocating P-type ATPase GolT	plus	STRESS	METAL	COPPER/GOLD	COPPER/GOLD	BLASTX	762	762	100.00	99.08	762	AAL19307.1	gold/copper-translocating P-type ATPase GolT	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000005.1	199068	200291	+	mdsA	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	408	408	100.00	98.28	408	AAL19306.1	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000005.1	200291	203455	+	mdsB	multidrug efflux RND transporter permease subunit MdsB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1055	1055	100.00	99.72	1055	AAL19305.1	multidrug efflux RND transporter permease subunit MdsB	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000006.1	96246	98435	+	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	730	730	100.00	96.85	730	AAL21411.1	intimin-like inverse autotransporter SinH	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000016.1	276	1319	+	sseK2	type III secretion system effector arginine glycosyltransferase SseK2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	348	348	100.00	98.85	348	AAL21040.1	type III secretion system effector arginine glycosyltransferase SseK2	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000020.1	42790	44589	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	98.17	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000020.1	44579	46378	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	97.17	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000021.1	42094	43236	-	blaCMY-2	extended-spectrum class C beta-lactamase CMY-2	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100.00	100.00	381	WP_000976514.1	extended-spectrum class C beta-lactamase CMY-2	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000028.1	4104	4529	-	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	142	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000030.1	7574	8386	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000033.1	1159	1947	+	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_001206316.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000034.1	1677	2873	-	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
GCA_049744535.1_ASM4974453v1	NA	JBLZTT010000036.1	2178	2819	+	qnrB19	quinolone resistance pentapeptide repeat protein QnrB19	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	214	214	100.00	100.00	214	WP_012954666.1	quinolone resistance pentapeptide repeat protein QnrB19	NA	NA
GCA_049744555.1_ASM4974455v1	NA	JBLZTS010000001.1	475074	477128	+	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
GCA_049744555.1_ASM4974455v1	NA	JBLZTS010000001.1	504726	505631	+	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	302	302	100.00	98.01	302	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
GCA_049744555.1_ASM4974455v1	NA	JBLZTS010000001.1	594340	597966	-	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1209	1219	98.85	80.10	1211	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
GCA_049744555.1_ASM4974455v1	NA	JBLZTS010000001.1	598050	599162	-	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	86.52	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
GCA_049744555.1_ASM4974455v1	NA	JBLZTS010000003.1	421347	422153	+	cdtB	cytolethal distending toxin S-CDT	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	269	269	100.00	100.00	269	CAD02120.1	cytolethal distending toxin S-CDT	NA	NA
GCA_049744555.1_ASM4974455v1	NA	JBLZTS010000005.1	220859	221320	-	golS	Au(I) sensor transcriptional regulator GolS	plus	STRESS	METAL	GOLD	GOLD	BLASTX	154	154	100.00	99.35	154	AAL19308.1	Au(I) sensor transcriptional regulator GolS	NA	NA
GCA_049744555.1_ASM4974455v1	NA	JBLZTS010000005.1	221335	223620	-	golT	gold/copper-translocating P-type ATPase GolT	plus	STRESS	METAL	COPPER/GOLD	COPPER/GOLD	BLASTX	762	762	100.00	99.08	762	AAL19307.1	gold/copper-translocating P-type ATPase GolT	NA	NA
GCA_049744555.1_ASM4974455v1	NA	JBLZTS010000005.1	223897	225120	+	mdsA	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	408	408	100.00	98.28	408	AAL19306.1	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	NA	NA
GCA_049744555.1_ASM4974455v1	NA	JBLZTS010000005.1	225120	228284	+	mdsB	multidrug efflux RND transporter permease subunit MdsB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1055	1055	100.00	99.81	1055	AAL19305.1	multidrug efflux RND transporter permease subunit MdsB	NA	NA
GCA_049744555.1_ASM4974455v1	NA	JBLZTS010000006.1	96246	98435	+	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	730	730	100.00	96.85	730	AAL21411.1	intimin-like inverse autotransporter SinH	NA	NA
GCA_049744555.1_ASM4974455v1	NA	JBLZTS010000015.1	276	1319	+	sseK2	type III secretion system effector arginine glycosyltransferase SseK2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	348	348	100.00	98.85	348	AAL21040.1	type III secretion system effector arginine glycosyltransferase SseK2	NA	NA
GCA_049744555.1_ASM4974455v1	NA	JBLZTS010000020.1	7574	8386	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
GCA_049744555.1_ASM4974455v1	NA	JBLZTS010000020.1	10566	11762	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
GCA_049744555.1_ASM4974455v1	NA	JBLZTS010000020.1	20612	21037	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	142	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
GCA_049744555.1_ASM4974455v1	NA	JBLZTS010000026.1	14457	15599	-	blaCMY-2	extended-spectrum class C beta-lactamase CMY-2	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100.00	100.00	381	WP_000976514.1	extended-spectrum class C beta-lactamase CMY-2	NA	NA
GCA_049744555.1_ASM4974455v1	NA	JBLZTS010000030.1	2178	2819	+	qnrB19	quinolone resistance pentapeptide repeat protein QnrB19	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	214	214	100.00	100.00	214	WP_012954666.1	quinolone resistance pentapeptide repeat protein QnrB19	NA	NA
GCA_049744555.1_ASM4974455v1	NA	JBLZTS010000031.1	105	977	-	blaCTX-M-8	extended-spectrum class A beta-lactamase CTX-M-8	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.00	100.00	291	WP_032489598.1	extended-spectrum class A beta-lactamase CTX-M-8	NA	NA
GCA_049744575.1_ASM4974457v1	NA	JBLZTU010000001.1	522463	524517	+	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
GCA_049744575.1_ASM4974457v1	NA	JBLZTU010000001.1	552115	553020	+	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	302	302	100.00	98.01	302	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
GCA_049744575.1_ASM4974457v1	NA	JBLZTU010000001.1	641729	645355	-	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1209	1219	98.85	80.10	1211	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
GCA_049744575.1_ASM4974457v1	NA	JBLZTU010000001.1	645439	646551	-	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	86.52	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
GCA_049744575.1_ASM4974457v1	NA	JBLZTU010000003.1	421347	422153	+	cdtB	cytolethal distending toxin S-CDT	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	269	269	100.00	100.00	269	CAD02120.1	cytolethal distending toxin S-CDT	NA	NA
GCA_049744575.1_ASM4974457v1	NA	JBLZTU010000004.1	220859	221320	-	golS	Au(I) sensor transcriptional regulator GolS	plus	STRESS	METAL	GOLD	GOLD	BLASTX	154	154	100.00	99.35	154	AAL19308.1	Au(I) sensor transcriptional regulator GolS	NA	NA
