Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCA_049744075.1_ASM4974407v1_genomic,GCA_049744095.1_ASM4974409v1_genomic,GCA_049744115.1_ASM4974411v1_genomic,GCA_049744195.1_ASM4974419v1_genomic,GCA_049744215.1_ASM4974421v1_genomic,GCA_049744235.1_ASM4974423v1_genomic,GCA_049744295.1_ASM4974429v1_genomic,GCA_049744305.1_ASM4974430v1_genomic,GCA_049744355.1_ASM4974435v1_genomic,GCA_049744415.1_ASM4974441v1_genomic,GCA_049744425.1_ASM4974442v1_genomic,GCA_049744475.1_ASM4974447v1_genomic,GCA_049744535.1_ASM4974453v1_genomic,GCA_049744555.1_ASM4974455v1_genomic,GCA_049744575.1_ASM4974457v1_genomic,GCA_049744655.1_ASM4974465v1_genomic,GCA_049744675.1_ASM4974467v1_genomic,GCA_049744695.1_ASM4974469v1_genomic,GCA_049744775.1_ASM4974477v1_genomic,GCA_049744795.1_ASM4974479v1_genomic,GCA_049744815.1_ASM4974481v1_genomic,GCA_049744875.1_ASM4974487v1_genomic,GCA_049744915.1_ASM4974491v1_genomic,GCA_049744935.1_ASM4974493v1_genomic,GCA_049744995.1_ASM4974499v1_genomic,GCA_049745015.1_ASM4974501v1_genomic,GCA_049745055.1_ASM4974505v1_genomic,GCA_049745115.1_ASM4974511v1_genomic,GCA_049745135.1_ASM4974513v1_genomic,GCA_049745155.1_ASM4974515v1_genomic,GCA_049745215.1_ASM4974521v1_genomic,GCA_049745255.1_ASM4974525v1_genomic,GCA_049745275.1_ASM4974527v1_genomic,GCA_049745315.1_ASM4974531v1_genomic,GCA_049745375.1_ASM4974537v1_genomic,GCA_049745395.1_ASM4974539v1_genomic
cecR,cecR,transcriptional regulator CecR,36,36,1.0,1,1779,,,,675,675,675.0,PELDJG_07235,IDBKBP_12505,LPINFE_06075,ECBHDB_07255,DADOMI_07830,ELDHGE_12485,MDPJHN_11000,HFNKEK_03285,AIPMEA_12095,AKMJEK_12275,PAKNIB_12320,NPKKGL_12510,NCNPLN_12810,HICFFN_13635,PDGMNN_12515,LNCDGL_11270,MOCNOJ_12340,MBAGMH_12125,FCFEDA_12790,KIAGOF_03470,LGENEP_10390,BOACPM_14990,GEHLKP_11930,HGDNEH_03460,KDBOED_12550,CCFJDI_10755,OJCCDD_10120,MLAAMA_13180,OHBKOH_10130,CMGKAF_11765,BMJMLA_09070,OMOEPE_21060,CODKGK_07180,CMJGGH_11190,JAPNBN_10925,GMMDCK_10340
tctD,tctD,transcriptional regulator TctD,36,36,1.0,1,1778,,,,675,675,675.0,PELDJG_03150,IDBKBP_03150,LPINFE_03150,ECBHDB_02935,DADOMI_02665,ELDHGE_03130,MDPJHN_03150,HFNKEK_03150,AIPMEA_03150,AKMJEK_03150,PAKNIB_03150,NPKKGL_03150,NCNPLN_03150,HICFFN_02930,PDGMNN_03150,LNCDGL_03150,MOCNOJ_03150,MBAGMH_03150,FCFEDA_03145,KIAGOF_03150,LGENEP_03150,BOACPM_03150,GEHLKP_03090,HGDNEH_03150,KDBOED_03140,CCFJDI_00235,OJCCDD_02665,MLAAMA_03150,OHBKOH_05280,CMGKAF_02665,BMJMLA_02665,OMOEPE_11790,CODKGK_03150,CMJGGH_03150,JAPNBN_03090,GMMDCK_02665
spaP,spaP,SPI-1 type III secretion system export apparatus protein SpaP,36,36,1.0,1,1777,,,,675,675,675.0,PELDJG_02600,IDBKBP_02600,LPINFE_02600,ECBHDB_02390,DADOMI_02115,ELDHGE_02580,MDPJHN_02600,HFNKEK_02600,AIPMEA_02600,AKMJEK_02600,PAKNIB_02600,NPKKGL_02600,NCNPLN_02600,HICFFN_02380,PDGMNN_02600,LNCDGL_02600,MOCNOJ_02600,MBAGMH_02600,FCFEDA_02595,KIAGOF_02600,LGENEP_02600,BOACPM_02600,GEHLKP_02540,HGDNEH_02600,KDBOED_02595,CCFJDI_00785,OJCCDD_02115,MLAAMA_02600,OHBKOH_04730,CMGKAF_02115,BMJMLA_02115,OMOEPE_10415,CODKGK_02600,CMJGGH_02600,JAPNBN_02540,GMMDCK_02115
tetRA,tetR(A),tetracycline resistance transcriptional repressor TetR(A),36,36,1.0,1,1775,,,,678,678,678.0,PELDJG_21545,IDBKBP_22250,LPINFE_23640,ECBHDB_24055,DADOMI_23320,ELDHGE_23550,MDPJHN_24635,HFNKEK_23305,AIPMEA_21665,AKMJEK_23535,PAKNIB_23550,NPKKGL_23560,NCNPLN_24215,HICFFN_21740,PDGMNN_22280,LNCDGL_22055,MOCNOJ_22135,MBAGMH_18130,FCFEDA_22070,KIAGOF_23585,LGENEP_23580,BOACPM_22355,GEHLKP_24195,HGDNEH_23745,KDBOED_23965,CCFJDI_24260,OJCCDD_23510,MLAAMA_24040,OHBKOH_22120,CMGKAF_24175,BMJMLA_23955,OMOEPE_17605,CODKGK_24005,CMJGGH_24250,JAPNBN_24225,GMMDCK_23845
rffC,rffC,dTDP-4-amino-46-dideoxy-D-galactose acyltransferase,36,36,1.0,1,1774,,,,678,678,678.0,PELDJG_18825,IDBKBP_21100,LPINFE_20210,ECBHDB_19945,DADOMI_18700,ELDHGE_20625,MDPJHN_21240,HFNKEK_20640,AIPMEA_19670,AKMJEK_20405,PAKNIB_20440,NPKKGL_20630,NCNPLN_21400,HICFFN_20355,PDGMNN_20675,LNCDGL_20440,MOCNOJ_20485,MBAGMH_20830,FCFEDA_20920,KIAGOF_20655,LGENEP_20345,BOACPM_21545,GEHLKP_21470,HGDNEH_21175,KDBOED_20205,CCFJDI_19090,OJCCDD_20080,MLAAMA_20635,OHBKOH_20665,CMGKAF_21395,BMJMLA_20570,OMOEPE_21840,CODKGK_22250,CMJGGH_21665,JAPNBN_21510,GMMDCK_21195
cbiQ,cbiQ,energy-coupling factor ABC transporter transmembrane protein,36,36,1.0,1,1773,,,,678,678,678.0,PELDJG_16720,IDBKBP_17680,LPINFE_16955,ECBHDB_15915,DADOMI_11730,ELDHGE_14935,MDPJHN_12690,HFNKEK_14105,AIPMEA_14530,AKMJEK_14715,PAKNIB_14755,NPKKGL_14945,NCNPLN_14575,HICFFN_15215,PDGMNN_14950,LNCDGL_14720,MOCNOJ_13940,MBAGMH_13720,FCFEDA_15220,KIAGOF_14955,LGENEP_13310,BOACPM_14285,GEHLKP_13615,HGDNEH_13775,KDBOED_14240,CCFJDI_13460,OJCCDD_11810,MLAAMA_16310,OHBKOH_11880,CMGKAF_13455,BMJMLA_11795,OMOEPE_06540,CODKGK_11445,CMJGGH_12935,JAPNBN_13620,GMMDCK_12090
group_363,,Isochorismatase family protein,36,36,1.0,1,1772,,,,678,678,678.0,PELDJG_15650,IDBKBP_15975,LPINFE_20810,ECBHDB_14805,DADOMI_15355,ELDHGE_16920,MDPJHN_17405,HFNKEK_16940,AIPMEA_16515,AKMJEK_16700,PAKNIB_16740,NPKKGL_16930,NCNPLN_18340,HICFFN_17205,PDGMNN_16935,LNCDGL_16705,MOCNOJ_16780,MBAGMH_15705,FCFEDA_17205,KIAGOF_16940,LGENEP_15270,BOACPM_17605,GEHLKP_16460,HGDNEH_10855,KDBOED_17055,CCFJDI_21045,OJCCDD_15500,MLAAMA_10270,OHBKOH_15690,CMGKAF_18395,BMJMLA_15640,OMOEPE_02485,CODKGK_15280,CMJGGH_16780,JAPNBN_16435,GMMDCK_17100
lpfB,lpfB,Long polar fimbrial chaperone LpfB,36,36,1.0,1,1771,,,,678,678,678.0,PELDJG_15090,IDBKBP_15420,LPINFE_15315,ECBHDB_14245,DADOMI_14800,ELDHGE_16365,MDPJHN_16850,HFNKEK_16385,AIPMEA_15960,AKMJEK_16145,PAKNIB_16185,NPKKGL_16375,NCNPLN_17785,HICFFN_16650,PDGMNN_16380,LNCDGL_16150,MOCNOJ_16225,MBAGMH_15150,FCFEDA_16650,KIAGOF_16385,LGENEP_16330,BOACPM_17050,GEHLKP_15905,HGDNEH_11855,KDBOED_16500,CCFJDI_15715,OJCCDD_14945,MLAAMA_11270,OHBKOH_15135,CMGKAF_17840,BMJMLA_15085,OMOEPE_16800,CODKGK_14725,CMJGGH_16225,JAPNBN_15880,GMMDCK_16545
aroM,aroM,AroM protein,36,36,1.0,1,1770,,,,678,678,678.0,PELDJG_11960,IDBKBP_09040,LPINFE_07985,ECBHDB_06710,DADOMI_09845,ELDHGE_09020,MDPJHN_08900,HFNKEK_05420,AIPMEA_08860,AKMJEK_09040,PAKNIB_08860,NPKKGL_09040,NCNPLN_10720,HICFFN_10405,PDGMNN_09045,LNCDGL_08040,MOCNOJ_08865,MBAGMH_08860,FCFEDA_10710,KIAGOF_05605,LGENEP_12480,BOACPM_08855,GEHLKP_11380,HGDNEH_05685,KDBOED_10455,CCFJDI_10205,OJCCDD_08035,MLAAMA_09090,OHBKOH_09350,CMGKAF_08410,BMJMLA_10780,OMOEPE_04665,CODKGK_10630,CMJGGH_09090,JAPNBN_10375,GMMDCK_09785
fetA,fetA,iron ABC transporter ATP-binding protein FetA,36,36,1.0,1,1769,,,,678,678,678.0,PELDJG_11385,IDBKBP_08465,LPINFE_07410,ECBHDB_06135,DADOMI_09270,ELDHGE_08445,MDPJHN_08325,HFNKEK_04845,AIPMEA_08285,AKMJEK_08465,PAKNIB_08285,NPKKGL_08465,NCNPLN_10145,HICFFN_09830,PDGMNN_08470,LNCDGL_07465,MOCNOJ_08290,MBAGMH_08285,FCFEDA_10135,KIAGOF_05030,LGENEP_11905,BOACPM_08280,GEHLKP_10805,HGDNEH_05110,KDBOED_09880,CCFJDI_09630,OJCCDD_07460,MLAAMA_08515,OHBKOH_22330,CMGKAF_07835,BMJMLA_22395,OMOEPE_20425,CODKGK_10055,CMJGGH_08515,JAPNBN_09800,GMMDCK_09210
narI,narI,respiratory nitrate reductase subunit gamma,36,36,1.0,1,1768,,,,678,678,678.0,PELDJG_09275,IDBKBP_11835,LPINFE_12705,ECBHDB_11210,DADOMI_05855,ELDHGE_11815,MDPJHN_14620,HFNKEK_12985,AIPMEA_11415,AKMJEK_11600,PAKNIB_11650,NPKKGL_11835,NCNPLN_09320,HICFFN_12965,PDGMNN_11840,LNCDGL_10600,MOCNOJ_11665,MBAGMH_11455,FCFEDA_09220,KIAGOF_13165,LGENEP_09720,BOACPM_11650,GEHLKP_07095,HGDNEH_14805,KDBOED_09125,CCFJDI_04640,OJCCDD_12715,MLAAMA_12510,OHBKOH_12905,CMGKAF_14685,BMJMLA_12825,OMOEPE_16035,CODKGK_12495,CMJGGH_13955,JAPNBN_06085,GMMDCK_13335
kdpE,kdpE,two-component system response regulator KdpE,36,36,1.0,1,1767,,,,678,678,678.0,PELDJG_07755,IDBKBP_13025,LPINFE_06595,ECBHDB_07775,DADOMI_08350,ELDHGE_13005,MDPJHN_11520,HFNKEK_03805,AIPMEA_12615,AKMJEK_12795,PAKNIB_12840,NPKKGL_13030,NCNPLN_13335,HICFFN_14155,PDGMNN_13035,LNCDGL_11790,MOCNOJ_12860,MBAGMH_12645,FCFEDA_13310,KIAGOF_03990,LGENEP_10910,BOACPM_15510,GEHLKP_12450,HGDNEH_03980,KDBOED_13070,CCFJDI_11275,OJCCDD_10640,MLAAMA_13700,OHBKOH_10650,CMGKAF_12285,BMJMLA_09590,OMOEPE_08060,CODKGK_07700,CMJGGH_11710,JAPNBN_11445,GMMDCK_10860
csiR,csiR,DNA-binding transcriptional regulator CsiR,36,36,1.0,1,1766,,,,678,678,678.0,PELDJG_03105,IDBKBP_03105,LPINFE_03105,ECBHDB_02890,DADOMI_02620,ELDHGE_03085,MDPJHN_03105,HFNKEK_03105,AIPMEA_03105,AKMJEK_03105,PAKNIB_03105,NPKKGL_03105,NCNPLN_03105,HICFFN_02885,PDGMNN_03105,LNCDGL_03105,MOCNOJ_03105,MBAGMH_03105,FCFEDA_03100,KIAGOF_03105,LGENEP_03105,BOACPM_03105,GEHLKP_03045,HGDNEH_03105,KDBOED_03095,CCFJDI_00280,OJCCDD_02620,MLAAMA_03105,OHBKOH_05235,CMGKAF_02620,BMJMLA_02620,OMOEPE_11840,CODKGK_03105,CMJGGH_03105,JAPNBN_03045,GMMDCK_02620
ecfA2,ecfA2,Energy-coupling factor transporter ATP-binding protein EcfA2,36,36,1.0,1,1765,,,,678,678,678.0,PELDJG_01645,IDBKBP_01645,LPINFE_01645,ECBHDB_01435,DADOMI_01160,ELDHGE_01625,MDPJHN_01645,HFNKEK_01645,AIPMEA_01645,AKMJEK_01645,PAKNIB_01645,NPKKGL_01645,NCNPLN_01645,HICFFN_01425,PDGMNN_01645,LNCDGL_01645,MOCNOJ_01645,MBAGMH_01645,FCFEDA_01640,KIAGOF_01645,LGENEP_01645,BOACPM_01645,GEHLKP_01585,HGDNEH_01645,KDBOED_01640,CCFJDI_01740,OJCCDD_01160,MLAAMA_01645,OHBKOH_03775,CMGKAF_01160,BMJMLA_01160,OMOEPE_06280,CODKGK_01645,CMJGGH_01645,JAPNBN_01585,GMMDCK_01160
dsbI,dsbI,protein-disulfide oxidoreductase DsbI,36,36,1.0,1,1764,,,,678,678,678.0,PELDJG_01040,IDBKBP_01040,LPINFE_01040,ECBHDB_00825,DADOMI_00555,ELDHGE_01020,MDPJHN_01040,HFNKEK_01040,AIPMEA_01040,AKMJEK_01040,PAKNIB_01040,NPKKGL_01040,NCNPLN_01040,HICFFN_00820,PDGMNN_01040,LNCDGL_01040,MOCNOJ_01040,MBAGMH_01040,FCFEDA_01035,KIAGOF_01040,LGENEP_01040,BOACPM_01040,GEHLKP_00980,HGDNEH_01040,KDBOED_01035,CCFJDI_09010,OJCCDD_00555,MLAAMA_01040,OHBKOH_03170,CMGKAF_00555,BMJMLA_00555,OMOEPE_03020,CODKGK_01040,CMJGGH_01040,JAPNBN_00980,GMMDCK_00555
group_359,,fimbrial assembly chaperone,36,36,1.0,1,1760,,,,681,681,681.0,PELDJG_18080,IDBKBP_20355,LPINFE_18770,ECBHDB_19210,DADOMI_20540,ELDHGE_19880,MDPJHN_20495,HFNKEK_19895,AIPMEA_18925,AKMJEK_19660,PAKNIB_19695,NPKKGL_19890,NCNPLN_20655,HICFFN_19615,PDGMNN_19930,LNCDGL_19695,MOCNOJ_19740,MBAGMH_20085,FCFEDA_20170,KIAGOF_19910,LGENEP_19600,BOACPM_20800,GEHLKP_19930,HGDNEH_20435,KDBOED_19460,CCFJDI_18340,OJCCDD_19335,MLAAMA_19895,OHBKOH_19400,CMGKAF_10505,BMJMLA_19340,OMOEPE_20010,CODKGK_20240,CMJGGH_20925,JAPNBN_19905,GMMDCK_19415
nanE1,nanE1,Putative N-acetylmannosamine-6-phosphate 2-epimerase 1,36,36,1.0,1,1758,,,,681,681,681.0,PELDJG_14720,IDBKBP_15050,LPINFE_14945,ECBHDB_13875,DADOMI_14430,ELDHGE_15995,MDPJHN_16480,HFNKEK_16015,AIPMEA_15590,AKMJEK_15775,PAKNIB_15815,NPKKGL_16005,NCNPLN_17415,HICFFN_16280,PDGMNN_16010,LNCDGL_15780,MOCNOJ_15855,MBAGMH_14780,FCFEDA_16280,KIAGOF_16015,LGENEP_15960,BOACPM_16680,GEHLKP_15535,HGDNEH_11485,KDBOED_16130,CCFJDI_15345,OJCCDD_14575,MLAAMA_10900,OHBKOH_14765,CMGKAF_17470,BMJMLA_14715,OMOEPE_23135,CODKGK_14355,CMJGGH_15855,JAPNBN_15510,GMMDCK_16175
group_357,,Isochorismatase family protein,36,36,1.0,1,1757,,,,681,681,681.0,PELDJG_13690,IDBKBP_14000,LPINFE_13540,ECBHDB_12045,DADOMI_12585,ELDHGE_13980,MDPJHN_15455,HFNKEK_14965,AIPMEA_13575,AKMJEK_13760,PAKNIB_13800,NPKKGL_13990,NCNPLN_16390,HICFFN_08915,PDGMNN_13995,LNCDGL_13770,MOCNOJ_14805,MBAGMH_19775,FCFEDA_14270,KIAGOF_14000,LGENEP_14185,BOACPM_12865,GEHLKP_14475,HGDNEH_15635,KDBOED_15100,CCFJDI_14320,OJCCDD_13550,MLAAMA_17165,OHBKOH_13740,CMGKAF_16450,BMJMLA_13695,OMOEPE_17280,CODKGK_13330,CMJGGH_14785,JAPNBN_14480,GMMDCK_15105
dpiA,dpiA,two-component response regulator DpiA,36,36,1.0,1,1756,,,,681,681,681.0,PELDJG_08105,IDBKBP_13375,LPINFE_06950,ECBHDB_08125,DADOMI_08700,ELDHGE_13355,MDPJHN_11870,HFNKEK_04155,AIPMEA_12965,AKMJEK_13150,PAKNIB_13190,NPKKGL_13380,NCNPLN_13685,HICFFN_14505,PDGMNN_13385,LNCDGL_12145,MOCNOJ_13215,MBAGMH_12995,FCFEDA_13660,KIAGOF_04340,LGENEP_11260,BOACPM_15860,GEHLKP_12795,HGDNEH_04330,KDBOED_13420,CCFJDI_11625,OJCCDD_10990,MLAAMA_14055,OHBKOH_11000,CMGKAF_12635,BMJMLA_09940,OMOEPE_01280,CODKGK_08055,CMJGGH_12060,JAPNBN_11795,GMMDCK_11210
cmk,cmk,(d)CMP kinase,36,36,1.0,1,1755,,,,684,684,684.0,PELDJG_15795,IDBKBP_16120,LPINFE_20665,ECBHDB_14950,DADOMI_15500,ELDHGE_17065,MDPJHN_17550,HFNKEK_17085,AIPMEA_16660,AKMJEK_16845,PAKNIB_16885,NPKKGL_17075,NCNPLN_18485,HICFFN_17350,PDGMNN_17080,LNCDGL_16850,MOCNOJ_16925,MBAGMH_15850,FCFEDA_17350,KIAGOF_17085,LGENEP_15415,BOACPM_17750,GEHLKP_16605,HGDNEH_11000,KDBOED_17200,CCFJDI_20900,OJCCDD_15645,MLAAMA_10415,OHBKOH_15835,CMGKAF_18540,BMJMLA_15785,OMOEPE_02630,CODKGK_15425,CMJGGH_16925,JAPNBN_16580,GMMDCK_17245
group_356,,DUF3251 domain-containing protein,36,36,1.0,1,1754,,,,684,684,684.0,PELDJG_14040,IDBKBP_14350,LPINFE_13890,ECBHDB_12395,DADOMI_12935,ELDHGE_14330,MDPJHN_15805,HFNKEK_15315,AIPMEA_13925,AKMJEK_14110,PAKNIB_14150,NPKKGL_14340,NCNPLN_16740,HICFFN_08565,PDGMNN_14345,LNCDGL_14120,MOCNOJ_15155,MBAGMH_17650,FCFEDA_14620,KIAGOF_14350,LGENEP_14535,BOACPM_12515,GEHLKP_14825,HGDNEH_15985,KDBOED_15450,CCFJDI_14670,OJCCDD_13900,MLAAMA_17515,OHBKOH_14090,CMGKAF_16800,BMJMLA_14045,OMOEPE_18890,CODKGK_13680,CMJGGH_15135,JAPNBN_14830,GMMDCK_15455
mgtC,mgtC,Mg2+ transport protein,36,36,1.0,1,1753,,,,684,684,684.0,PELDJG_13670,IDBKBP_13980,LPINFE_13520,ECBHDB_12025,DADOMI_12565,ELDHGE_13960,MDPJHN_15435,HFNKEK_14945,AIPMEA_13555,AKMJEK_13740,PAKNIB_13780,NPKKGL_13970,NCNPLN_16370,HICFFN_08935,PDGMNN_13975,LNCDGL_13750,MOCNOJ_14785,MBAGMH_19795,FCFEDA_14250,KIAGOF_13980,LGENEP_14165,BOACPM_12885,GEHLKP_14455,HGDNEH_15615,KDBOED_15080,CCFJDI_14300,OJCCDD_13530,MLAAMA_17145,OHBKOH_13720,CMGKAF_16430,BMJMLA_13675,OMOEPE_17260,CODKGK_13310,CMJGGH_14765,JAPNBN_14460,GMMDCK_15085
group_355,,Uncharacterized conserved protein contains Extensin-like_C domain,36,36,1.0,1,1752,,,,684,684,684.0,PELDJG_12005,IDBKBP_09085,LPINFE_08030,ECBHDB_06755,DADOMI_09890,ELDHGE_09065,MDPJHN_08945,HFNKEK_05465,AIPMEA_08905,AKMJEK_09085,PAKNIB_08905,NPKKGL_09085,NCNPLN_10765,HICFFN_10450,PDGMNN_09090,LNCDGL_08085,MOCNOJ_08910,MBAGMH_08905,FCFEDA_10755,KIAGOF_05650,LGENEP_12525,BOACPM_08900,GEHLKP_11425,HGDNEH_05730,KDBOED_10500,CCFJDI_10250,OJCCDD_08080,MLAAMA_09135,OHBKOH_09395,CMGKAF_08455,BMJMLA_10825,OMOEPE_04710,CODKGK_10675,CMJGGH_09135,JAPNBN_10420,GMMDCK_09830
citB,citB,DNA-binding response regulator NarL/FixJ family contains REC and HTH domains,36,36,1.0,1,1751,,,,684,684,684.0,PELDJG_01410,IDBKBP_01410,LPINFE_01410,ECBHDB_01200,DADOMI_00925,ELDHGE_01390,MDPJHN_01410,HFNKEK_01410,AIPMEA_01410,AKMJEK_01410,PAKNIB_01410,NPKKGL_01410,NCNPLN_01410,HICFFN_01190,PDGMNN_01410,LNCDGL_01410,MOCNOJ_01410,MBAGMH_01410,FCFEDA_01405,KIAGOF_01410,LGENEP_01410,BOACPM_01410,GEHLKP_01350,HGDNEH_01410,KDBOED_01405,CCFJDI_09380,OJCCDD_00925,MLAAMA_01410,OHBKOH_03540,CMGKAF_00925,BMJMLA_00925,OMOEPE_03390,CODKGK_01410,CMJGGH_01410,JAPNBN_01350,GMMDCK_00925
hisQ,hisQ,Histidine transport system permease protein HisQ,36,36,1.0,1,1750,,,,687,687,687.0,PELDJG_16420,IDBKBP_17380,LPINFE_15870,ECBHDB_15605,DADOMI_16895,ELDHGE_18330,MDPJHN_18170,HFNKEK_18345,AIPMEA_17925,AKMJEK_18110,PAKNIB_18145,NPKKGL_18335,NCNPLN_19105,HICFFN_18615,PDGMNN_17735,LNCDGL_17505,MOCNOJ_18190,MBAGMH_17115,FCFEDA_18615,KIAGOF_18345,LGENEP_17525,BOACPM_19015,GEHLKP_17865,HGDNEH_17365,KDBOED_18460,CCFJDI_16270,OJCCDD_16915,MLAAMA_18895,OHBKOH_17100,CMGKAF_11425,BMJMLA_17045,OMOEPE_23415,CODKGK_16685,CMJGGH_18185,JAPNBN_17840,GMMDCK_17865
group_353,ybbA,ABC transporter ATP-binding protein,36,36,1.0,1,1748,,,,687,687,687.0,PELDJG_11360,IDBKBP_08440,LPINFE_07385,ECBHDB_06110,DADOMI_09245,ELDHGE_08420,MDPJHN_08300,HFNKEK_04820,AIPMEA_08260,AKMJEK_08440,PAKNIB_08260,NPKKGL_08440,NCNPLN_10120,HICFFN_09805,PDGMNN_08445,LNCDGL_07440,MOCNOJ_08265,MBAGMH_08260,FCFEDA_10110,KIAGOF_05005,LGENEP_11880,BOACPM_08255,GEHLKP_10780,HGDNEH_05085,KDBOED_09855,CCFJDI_09605,OJCCDD_07435,MLAAMA_08490,OHBKOH_22355,CMGKAF_07810,BMJMLA_22420,OMOEPE_20400,CODKGK_10030,CMJGGH_08490,JAPNBN_09775,GMMDCK_09185
group_352,,B3/B4 domain (DNA/RNA-binding domain of Phe-tRNA-synthetase),36,36,1.0,1,1747,,,,687,687,687.0,PELDJG_09790,IDBKBP_12350,LPINFE_13220,ECBHDB_11725,DADOMI_06370,ELDHGE_12330,MDPJHN_15135,HFNKEK_13500,AIPMEA_11930,AKMJEK_12115,PAKNIB_12165,NPKKGL_12350,NCNPLN_09835,HICFFN_13480,PDGMNN_12355,LNCDGL_11115,MOCNOJ_12180,MBAGMH_11970,FCFEDA_09735,KIAGOF_13680,LGENEP_10235,BOACPM_12165,GEHLKP_07610,HGDNEH_15320,KDBOED_09640,CCFJDI_05155,OJCCDD_13230,MLAAMA_13025,OHBKOH_13420,CMGKAF_15200,BMJMLA_13340,OMOEPE_22675,CODKGK_13010,CMJGGH_14470,JAPNBN_06600,GMMDCK_13850
proQ,proQ,RNA chaperone ProQ,36,36,1.0,1,1746,,,,687,687,687.0,PELDJG_08845,IDBKBP_11405,LPINFE_12275,ECBHDB_18170,DADOMI_05050,ELDHGE_11385,MDPJHN_20075,HFNKEK_12555,AIPMEA_10985,AKMJEK_11170,PAKNIB_11220,NPKKGL_11405,NCNPLN_08515,HICFFN_12535,PDGMNN_11410,LNCDGL_10170,MOCNOJ_11235,MBAGMH_11025,FCFEDA_08790,KIAGOF_12735,LGENEP_09290,BOACPM_11220,GEHLKP_06290,HGDNEH_20015,KDBOED_08320,CCFJDI_03835,OJCCDD_17705,MLAAMA_11705,OHBKOH_18980,CMGKAF_20235,BMJMLA_18920,OMOEPE_09030,CODKGK_19820,CMJGGH_18865,JAPNBN_05280,GMMDCK_20035
group_351,,Macro domain,36,36,1.0,1,1745,,,,687,687,687.0,PELDJG_08740,IDBKBP_11300,LPINFE_12170,ECBHDB_18275,DADOMI_04945,ELDHGE_11280,MDPJHN_20180,HFNKEK_12450,AIPMEA_10880,AKMJEK_11065,PAKNIB_11115,NPKKGL_11300,NCNPLN_08410,HICFFN_12430,PDGMNN_11305,LNCDGL_10065,MOCNOJ_11130,MBAGMH_10920,FCFEDA_08685,KIAGOF_12630,LGENEP_09185,BOACPM_11115,GEHLKP_06185,HGDNEH_20120,KDBOED_08215,CCFJDI_03730,OJCCDD_17810,MLAAMA_11600,OHBKOH_19085,CMGKAF_20340,BMJMLA_19025,OMOEPE_09135,CODKGK_19925,CMJGGH_18970,JAPNBN_05175,GMMDCK_20140
bioD,bioD,dethiobiotin synthase,36,36,1.0,1,1744,,,,687,687,687.0,PELDJG_07335,IDBKBP_12605,LPINFE_06175,ECBHDB_07355,DADOMI_07930,ELDHGE_12585,MDPJHN_11100,HFNKEK_03385,AIPMEA_12195,AKMJEK_12375,PAKNIB_12420,NPKKGL_12610,NCNPLN_12910,HICFFN_13735,PDGMNN_12615,LNCDGL_11370,MOCNOJ_12440,MBAGMH_12225,FCFEDA_12890,KIAGOF_03570,LGENEP_10490,BOACPM_15090,GEHLKP_12030,HGDNEH_03560,KDBOED_12650,CCFJDI_10855,OJCCDD_10220,MLAAMA_13280,OHBKOH_10230,CMGKAF_11865,BMJMLA_09170,OMOEPE_07640,CODKGK_07280,CMJGGH_11290,JAPNBN_11025,GMMDCK_10440
pepE,pepE,dipeptidase PepE,36,36,1.0,1,1740,,,,690,690,690.0,PELDJG_20945,IDBKBP_16320,LPINFE_22200,ECBHDB_19080,DADOMI_19935,ELDHGE_17270,MDPJHN_14195,HFNKEK_17285,AIPMEA_16865,AKMJEK_17050,PAKNIB_17085,NPKKGL_17275,NCNPLN_15250,HICFFN_17555,PDGMNN_18050,LNCDGL_17820,MOCNOJ_17130,MBAGMH_16055,FCFEDA_17555,KIAGOF_17285,LGENEP_16465,BOACPM_17950,GEHLKP_16805,HGDNEH_16305,KDBOED_17400,CCFJDI_21100,OJCCDD_15850,MLAAMA_17835,OHBKOH_16040,CMGKAF_16165,BMJMLA_15985,OMOEPE_17370,CODKGK_15625,CMJGGH_17125,JAPNBN_16780,GMMDCK_14815
dgoR,dgoR,D-galactonate utilization transcriptional regulator DgoR,36,36,1.0,1,1739,,,,690,690,690.0,PELDJG_20615,IDBKBP_21660,LPINFE_22335,ECBHDB_21330,DADOMI_19605,ELDHGE_21640,MDPJHN_21805,HFNKEK_21200,AIPMEA_21075,AKMJEK_21425,PAKNIB_21460,NPKKGL_21645,NCNPLN_21965,HICFFN_09245,PDGMNN_21690,LNCDGL_21465,MOCNOJ_21080,MBAGMH_21845,FCFEDA_21480,KIAGOF_21670,LGENEP_21375,BOACPM_13195,GEHLKP_20750,HGDNEH_21735,KDBOED_21160,CCFJDI_20455,OJCCDD_21485,MLAAMA_21625,OHBKOH_21225,CMGKAF_21960,BMJMLA_21130,OMOEPE_13990,CODKGK_21530,CMJGGH_22225,JAPNBN_20730,GMMDCK_21790
